id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2985742,CD1,2018-05-04 22:00:00,0,23.6,71.7,0,0,0
2985798,CD1,2018-05-04 23:00:00,0,20.3,68.5,0,0,0
2985854,CD1,2018-05-05 00:00:00,0,27.3,87.2,0,0,0
2985874,CD1,2018-05-05 01:00:00,0,23.7,75.4,0,0,0
2985930,CD1,2018-05-05 02:00:00,0,30.9,73.6,0,0,0
2985986,CD1,2018-05-05 03:00:00,0,32.0,73.9,0,0,0
2986042,CD1,2018-05-05 04:00:00,0,34.4,79.5,0,0,0
2986098,CD1,2018-05-05 05:00:00,0,41.5,85.0,0,0,0
2986154,CD1,2018-05-05 06:00:00,0,35.9,79.4,0,0,0
2986210,CD1,2018-05-05 07:00:00,0,31.4,78.5,0,0,0
2986266,CD1,2018-05-05 08:00:00,0,34.0,103.0,0,0,0
2986322,CD1,2018-05-05 09:00:00,0,26.7,90.0,0,0,0
2986378,CD1,2018-05-05 10:00:00,0,28.5,87.1,0,0,0
2986434,CD1,2018-05-05 11:00:00,0,25.7,136.9,0,0,0
2986490,CD1,2018-05-05 12:00:00,0,24.3,114.9,0,0,0
2986546,CD1,2018-05-05 13:00:00,0,22.5,126.9,0,0,0
2986602,CD1,2018-05-05 14:00:00,0,26.9,97.5,0,0,0
2986658,CD1,2018-05-05 15:00:00,0,29.0,85.8,0,0,0
2986678,CD1,2018-05-05 16:00:00,0,34.6,86.7,0,0,0
2986769,CD1,2018-05-05 17:00:00,0,35.3,83.3,0,0,0
2986825,CD1,2018-05-05 18:00:00,0,31.7,73.1,0,0,0
2986881,CD1,2018-05-05 19:00:00,0,37.5,99.1,0,0,0
2986937,CD1,2018-05-05 20:00:00,0,39.5,83.1,0,0,0
2986957,CD1,2018-05-05 21:00:00,0,42.6,77.6,0,0,0
2987013,CD1,2018-05-05 22:00:00,0,38.0,61.3,0,0,0
2987069,CD1,2018-05-05 23:00:00,0,38.9,70.3,0,0,0
2987125,CD1,2018-05-06 00:00:00,0,36.5,64.1,0,0,0
2987181,CD1,2018-05-06 01:00:00,0,33.2,39.7,0,0,0
2987237,CD1,2018-05-06 02:00:00,0,31.5,29.7,0,0,0
2987293,CD1,2018-05-06 03:00:00,0,30.7,21.2,0,0,0
2987349,CD1,2018-05-06 04:00:00,0,30.4,26.9,0,0,0
2987405,CD1,2018-05-06 05:00:00,0,36.3,45.9,0,0,0
2987461,CD1,2018-05-06 06:00:00,0,30.7,38.1,0,0,0
2987517,CD1,2018-05-06 07:00:00,0,33.8,45.8,0,0,0
2987573,CD1,2018-05-06 08:00:00,0,33.9,50.6,0,0,0
2987593,CD1,2018-05-06 09:00:00,0,39.2,59.0,0,0,0
2987649,CD1,2018-05-06 10:00:00,0,36.5,57.2,0,0,0
2987705,CD1,2018-05-06 11:00:00,0,33.0,63.0,0,0,0
2987832,CD1,2018-05-06 12:00:00,0,39.6,66.6,0,0,0
2987888,CD1,2018-05-06 13:00:00,0,34.8,75.6,0,0,0
2987944,CD1,2018-05-06 14:00:00,0,36.4,88.7,0,0,0
2988000,CD1,2018-05-06 15:00:00,0,42.1,90.7,0,0,0
2988020,CD1,2018-05-06 16:00:00,0,37.2,92.3,0,0,0
2988111,CD1,2018-05-06 17:00:00,0,38.3,101.0,0,0,0
2988167,CD1,2018-05-06 18:00:00,0,40.7,112.2,0,0,0
2988223,CD1,2018-05-06 19:00:00,0,43.3,82.2,0,0,0
2988243,CD1,2018-05-06 20:00:00,0,47.9,81.5,0,0,0
2988299,CD1,2018-05-06 21:00:00,0,41.3,66.7,0,0,0
2988355,CD1,2018-05-06 22:00:00,0,52.3,81.5,0,0,0
2988411,CD1,2018-05-06 23:00:00,0,54.9,86.9,0,0,0
2988467,CD1,2018-05-07 00:00:00,0,57.1,69.7,0,0,0
2988523,CD1,2018-05-07 01:00:00,0,59.0,73.5,0,0,0
2988543,CD1,2018-05-07 02:00:00,0,58.0,73.2,0,0,0
2988599,CD1,2018-05-07 03:00:00,0,53.6,66.6,0,0,0
2988655,CD1,2018-05-07 04:00:00,0,51.2,52.1,0,0,0
2988711,CD1,2018-05-07 05:00:00,0,54.9,63.5,0,0,0
2988767,CD1,2018-05-07 06:00:00,0,55.8,60.1,0,0,0
2988823,CD1,2018-05-07 07:00:00,0,50.6,66.8,0,0,0
2988879,CD1,2018-05-07 08:00:00,0,38.9,80.9,0,0,0
2988935,CD1,2018-05-07 09:00:00,0,32.7,88.3,0,0,0
2988991,CD1,2018-05-07 10:00:00,0,35.6,90.8,0,0,0
2989047,CD1,2018-05-07 11:00:00,0,27.7,79.3,0,0,0
2989103,CD1,2018-05-07 12:00:00,0,23.4,66.8,0,0,0
2989159,CD1,2018-05-07 13:00:00,0,34.1,78.5,0,0,0
2989215,CD1,2018-05-07 14:00:00,0,32.4,88.4,0,0,0
2979499,BL0,2018-04-30 00:00:00,0,0,0,0,0,0
2979555,BL0,2018-04-30 01:00:00,0,9.7,7.1,0,0,0
2979611,BL0,2018-04-30 02:00:00,0,0,0,0,0,0
2979667,BL0,2018-04-30 03:00:00,0,6.2,6.9,0,0,0
2979723,BL0,2018-04-30 04:00:00,0,0,0,0,0,0
2979779,BL0,2018-04-30 05:00:00,0,8.5,22.6,0,0,0
2979835,BL0,2018-04-30 06:00:00,3.5,8.8,36.9,0,0,0
2979891,BL0,2018-04-30 07:00:00,0,0,0,0,0,0
2979947,BL0,2018-04-30 08:00:00,4.6,11.3,55.5,0,0,0
2980003,BL0,2018-04-30 09:00:00,6.2,10.5,55.7,0,0,0
2980059,BL0,2018-04-30 10:00:00,0,0,0,0,0,0
2980079,BL0,2018-04-30 11:00:00,7.1,12.9,53.4,0,0,0
2980135,BL0,2018-04-30 12:00:00,0,12.5,53.6,0,0,0
2980191,BL0,2018-04-30 13:00:00,0,15.5,49.0,0,0,0
2980247,BL0,2018-04-30 14:00:00,0,13.8,49.9,0,0,0
2980303,BL0,2018-04-30 15:00:00,0,0,0,0,0,0
2980323,BL0,2018-04-30 16:00:00,6.5,14.9,52.6,0,0,0
2980414,BL0,2018-04-30 17:00:00,4.8,13.0,57.9,0,0,0
2980434,BL0,2018-04-30 18:00:00,0,15.0,46.5,0,0,0
2980490,BL0,2018-04-30 19:00:00,5.6,13.8,49.3,0,0,0
2980546,BL0,2018-04-30 20:00:00,0,13.4,48.6,0,0,0
2980602,BL0,2018-04-30 21:00:00,0,0,0,0,0,0
2980658,BL0,2018-04-30 22:00:00,0,0,0,0,0,0
2980714,BL0,2018-04-30 23:00:00,0,16.0,95.6,0,0,0
2980770,BL0,2018-05-01 00:00:00,0,0,0,0,0,0
2980826,BL0,2018-05-01 01:00:00,4.4,12.7,79.4,0,0,0
2980882,BL0,2018-05-01 02:00:00,0,0,0,0,0,0
2980938,BL0,2018-05-01 03:00:00,0,10.8,49.3,0,0,0
2980994,BL0,2018-05-01 04:00:00,0,0,0,0,0,0
2981050,BL0,2018-05-01 05:00:00,4.7,10.6,44.4,0,0,0
2981106,BL0,2018-05-01 06:00:00,7.9,12.6,52.8,0,0,0
2981162,BL0,2018-05-01 07:00:00,8.3,16.2,67.3,0,0,0
2981218,BL0,2018-05-01 08:00:00,0,0,0,0,0,0
2981274,BL0,2018-05-01 09:00:00,6.0,10.7,27.2,0,0,0
2981330,BL0,2018-05-01 10:00:00,6.5,12.1,22.2,0,0,0
2981386,BL0,2018-05-01 11:00:00,0,12.6,24.3,0,0,0
2981406,BL0,2018-05-01 12:00:00,4.6,12.6,24.7,0,0,0
2981462,BL0,2018-05-01 13:00:00,4.6,11.9,24.5,0,0,0
2981518,BL0,2018-05-01 14:00:00,3.3,9.9,17.4,0,0,0
2981574,BL0,2018-05-01 15:00:00,0,0,0,0,0,0
2981594,BL0,2018-05-01 16:00:00,0,14.0,22.8,0,0,0
2981685,BL0,2018-05-01 17:00:00,0,0,0,0,0,0
2981741,BL0,2018-05-01 18:00:00,2.0,10.6,20.8,0,0,0
2981797,BL0,2018-05-01 19:00:00,0,14.8,21.0,0,0,0
2981853,BL0,2018-05-01 20:00:00,0,13.5,23.1,0,0,0
2981909,BL0,2018-05-01 21:00:00,0,10.4,28.5,0,0,0
2981965,BL0,2018-05-01 22:00:00,0,0,0,0,0,0
2981985,BL0,2018-05-01 23:00:00,0,9.8,23.5,0,0,0
2982041,BL0,2018-05-02 00:00:00,0,0,0,0,0,0
2982097,BL0,2018-05-02 01:00:00,2.4,9.3,9.2,0,0,0
2982117,BL0,2018-05-02 02:00:00,0,0,0,0,0,0
2982173,BL0,2018-05-02 03:00:00,2.2,10.3,5.7,0,0,0
2982229,BL0,2018-05-02 04:00:00,0,0,0,0,0,0
2982285,BL0,2018-05-02 05:00:00,0,4.6,13.2,0,0,0
2982341,BL0,2018-05-02 06:00:00,0,8.2,19.9,0,0,0
2982397,BL0,2018-05-02 07:00:00,0,9.4,29.3,0,0,0
2982453,BL0,2018-05-02 08:00:00,2.8,16.0,30.6,0,0,0
2982509,BL0,2018-05-02 09:00:00,2.9,7.5,28.9,0,0,0
2982565,BL0,2018-05-02 10:00:00,0.6,6.3,29.6,0,0,0
2982621,BL0,2018-05-02 11:00:00,2.1,4.0,31.4,0,0,0
2982677,BL0,2018-05-02 12:00:00,0,4.7,35.8,0,0,0
2982733,BL0,2018-05-02 13:00:00,0,0,0,0,0,0
2982789,BL0,2018-05-02 14:00:00,0,0,0,0,0,0
2982845,BL0,2018-05-02 15:00:00,0,1.4,57.2,0,0,0
2982865,BL0,2018-05-02 16:00:00,0,5.2,52.0,0,0,0
2982956,BL0,2018-05-02 17:00:00,1.0,5.5,55.3,0,0,0
2983012,BL0,2018-05-02 18:00:00,1.4,7.2,0,0,0,0
2983068,BL0,2018-05-02 19:00:00,1.9,2.9,87.2,0,0,0
2983088,BL0,2018-05-02 20:00:00,4.8,6.9,107.9,0,0,0
2983144,BL0,2018-05-02 21:00:00,8.1,14.8,88.4,0,0,0
2983200,BL0,2018-05-02 22:00:00,0,0,0,0,0,0
2983220,BL0,2018-05-02 23:00:00,0,12.9,95.4,0,0,0
2983276,BL0,2018-05-03 00:00:00,0,0,0,0,0,0
2983296,BL0,2018-05-03 01:00:00,0,13.1,78.0,0,0,0
2983352,BL0,2018-05-03 02:00:00,0,0,0,0,0,0
2983408,BL0,2018-05-03 03:00:00,9.2,14.6,45.7,0,0,0
2983464,BL0,2018-05-03 04:00:00,0,0,0,0,0,0
2983520,BL0,2018-05-03 05:00:00,0,0,0,0,0,0
2983576,BL0,2018-05-03 06:00:00,0,19.4,58.7,0,0,0
2983632,BL0,2018-05-03 07:00:00,6.3,21.0,71.9,0,0,0
2983688,BL0,2018-05-03 08:00:00,11.8,21.9,69.8,0,0,0
2983744,BL0,2018-05-03 09:00:00,8.3,0,71.3,0,0,0
2983800,BL0,2018-05-03 10:00:00,0,0,0,0,0,0
2983856,BL0,2018-05-03 11:00:00,5.4,12.6,31.7,0,0,0
2983912,BL0,2018-05-03 12:00:00,0,10.6,31.2,0,0,0
2983968,BL0,2018-05-03 13:00:00,0,11.9,24.9,0,0,0
2984024,BL0,2018-05-03 14:00:00,0,0,0,0,0,0
2984080,BL0,2018-05-03 15:00:00,2.4,16.4,26.8,0,0,0
2984100,BL0,2018-05-03 16:00:00,0,0,0,0,0,0
2984191,BL0,2018-05-03 17:00:00,0,0,0,0,0,0
2984247,BL0,2018-05-03 18:00:00,0,14.4,77.6,0,0,0
2984303,BL0,2018-05-03 19:00:00,7.3,16.5,44.0,0,0,0
2984359,BL0,2018-05-03 20:00:00,9.3,17.8,26.0,0,0,0
2984415,BL0,2018-05-03 21:00:00,0,14.6,26.0,0,0,0
2984471,BL0,2018-05-03 22:00:00,0,0,0,0,0,0
2984527,BL0,2018-05-03 23:00:00,4.4,11.7,25.2,0,0,0
2984583,BL0,2018-05-04 00:00:00,0,0,0,0,0,0
2984639,BL0,2018-05-04 01:00:00,6.9,15.2,27.7,0,0,0
2984695,BL0,2018-05-04 02:00:00,0,0,0,0,0,0
2984751,BL0,2018-05-04 03:00:00,4.6,12.5,24.5,0,0,0
2984807,BL0,2018-05-04 04:00:00,0,0,0,0,0,0
2984863,BL0,2018-05-04 05:00:00,3.9,12.6,70.6,0,0,0
2984919,BL0,2018-05-04 06:00:00,9.5,18.6,56.8,0,0,0
2984975,BL0,2018-05-04 07:00:00,0,18.7,58.9,0,0,0
2985031,BL0,2018-05-04 08:00:00,0,22.9,41.9,0,0,0
2985087,BL0,2018-05-04 09:00:00,10.6,21.9,39.6,0,0,0
2985143,BL0,2018-05-04 10:00:00,0,27.7,33.3,0,0,0
2985199,BL0,2018-05-04 11:00:00,6.9,19.3,34.2,0,0,0
2985255,BL0,2018-05-04 12:00:00,10.7,15.9,24.1,0,0,0
2985311,BL0,2018-05-04 13:00:00,10.4,24.3,32.9,0,0,0
2985367,BL0,2018-05-04 14:00:00,13.2,19.7,42.8,0,0,0
2985423,BL0,2018-05-04 15:00:00,0,0,0,0,0,0
2985443,BL0,2018-05-04 16:00:00,0,18.5,36.1,0,0,0
2985499,BL0,2018-05-04 17:00:00,0,0,0,0,0,0
2985555,BL0,2018-05-04 18:00:00,0,27.9,54.3,0,0,0
2985575,BL0,2018-05-04 19:00:00,13.9,30.5,66.2,0,0,0
2985631,BL0,2018-05-04 20:00:00,15.7,23.5,38.1,0,0,0
2985687,BL0,2018-05-04 21:00:00,0,0,0,0,0,0
2985743,BL0,2018-05-04 22:00:00,0,0,0,0,0,0
2985799,BL0,2018-05-04 23:00:00,0,0,0,0,0,0
2985855,BL0,2018-05-05 00:00:00,0,0,0,0,0,0
2985875,BL0,2018-05-05 01:00:00,0,0,0,0,0,0
2985931,BL0,2018-05-05 02:00:00,0,0,0,0,0,0
2985987,BL0,2018-05-05 03:00:00,0,0,0,0,0,0
2986043,BL0,2018-05-05 04:00:00,0,0,0,0,0,0
2986099,BL0,2018-05-05 05:00:00,0,0,0,0,0,0
2986155,BL0,2018-05-05 06:00:00,0,0,0,0,0,0
2986211,BL0,2018-05-05 07:00:00,0,0,0,0,0,0
2986267,BL0,2018-05-05 08:00:00,8.8,20.3,52.8,0,0,0
2986323,BL0,2018-05-05 09:00:00,0,24.7,39.4,0,0,0
2986379,BL0,2018-05-05 10:00:00,0,21.3,33.1,0,0,0
2986435,BL0,2018-05-05 11:00:00,14.3,23.5,31.0,0,0,0
2986491,BL0,2018-05-05 12:00:00,0,26.0,29.6,0,0,0
2986547,BL0,2018-05-05 13:00:00,15.4,25.9,29.3,0,0,0
2986603,BL0,2018-05-05 14:00:00,0,22.6,28.5,0,0,0
2986659,BL0,2018-05-05 15:00:00,14.3,23.7,31.6,0,0,0
2986679,BL0,2018-05-05 16:00:00,0,32.8,32.7,0,0,0
2986770,BL0,2018-05-05 17:00:00,16.6,28.4,43.0,0,0,0
2986826,BL0,2018-05-05 18:00:00,0,34.2,48.0,0,0,0
2986882,BL0,2018-05-05 19:00:00,0,31.5,59.5,0,0,0
2986938,BL0,2018-05-05 20:00:00,0,33.0,49.2,0,0,0
2986958,BL0,2018-05-05 21:00:00,0,35.6,59.1,0,0,0
2987014,BL0,2018-05-05 22:00:00,0,0,0,0,0,0
2987070,BL0,2018-05-05 23:00:00,0,28.4,56.8,0,0,0
2987126,BL0,2018-05-06 00:00:00,0,0,0,0,0,0
2987182,BL0,2018-05-06 01:00:00,0,30.6,36.3,0,0,0
2987238,BL0,2018-05-06 02:00:00,0,0,0,0,0,0
2987294,BL0,2018-05-06 03:00:00,26.3,35.0,0,0,0,0
2987350,BL0,2018-05-06 04:00:00,0,0,0,0,0,0
2987406,BL0,2018-05-06 05:00:00,0,31.7,26.6,0,0,0
2987462,BL0,2018-05-06 06:00:00,0,33.0,37.5,0,0,0
2987518,BL0,2018-05-06 07:00:00,27.4,35.4,0,0,0,0
2987574,BL0,2018-05-06 08:00:00,23.9,33.1,44.2,0,0,0
2987594,BL0,2018-05-06 09:00:00,0,37.5,38.6,0,0,0
2987650,BL0,2018-05-06 10:00:00,21.3,31.3,0,0,0,0
2987706,BL0,2018-05-06 11:00:00,0,26.2,25.2,0,0,0
2987833,BL0,2018-05-06 12:00:00,21.2,30.9,26.2,0,0,0
2987889,BL0,2018-05-06 13:00:00,20.3,28.9,22.8,0,0,0
2987945,BL0,2018-05-06 14:00:00,0,30.8,20.7,0,0,0
2988001,BL0,2018-05-06 15:00:00,0,28.7,40.5,0,0,0
2988021,BL0,2018-05-06 16:00:00,0,34.8,36.1,0,0,0
2988112,BL0,2018-05-06 17:00:00,0,30.2,53.9,0,0,0
2988168,BL0,2018-05-06 18:00:00,22.3,34.6,0,0,0,0
2988224,BL0,2018-05-06 19:00:00,26.8,38.1,69.0,0,0,0
2988244,BL0,2018-05-06 20:00:00,32.6,41.6,0,0,0,0
2988300,BL0,2018-05-06 21:00:00,0,46.4,79.6,0,0,0
2988356,BL0,2018-05-06 22:00:00,0,0,0,0,0,0
2988412,BL0,2018-05-06 23:00:00,0,47.2,84.5,0,0,0
2988468,BL0,2018-05-07 00:00:00,0,0,0,0,0,0
2988524,BL0,2018-05-07 01:00:00,53.2,61.1,71.0,0,0,0
2988544,BL0,2018-05-07 02:00:00,0,0,0,0,0,0
2988600,BL0,2018-05-07 03:00:00,44.9,55.6,70.8,0,0,0
2988656,BL0,2018-05-07 04:00:00,0,0,0,0,0,0
2988712,BL0,2018-05-07 05:00:00,0,56.1,60.6,0,0,0
2988768,BL0,2018-05-07 06:00:00,0,58.6,63.9,0,0,0
2988824,BL0,2018-05-07 07:00:00,0,52.0,44.4,0,0,0
2988880,BL0,2018-05-07 08:00:00,0,31.6,43.6,0,0,0
2988936,BL0,2018-05-07 09:00:00,14.6,26.6,39.6,0,0,0
2988992,BL0,2018-05-07 10:00:00,0,20.1,34.4,0,0,0
2989048,BL0,2018-05-07 11:00:00,0,21.8,29.8,0,0,0
2989104,BL0,2018-05-07 12:00:00,0,19.2,21.4,0,0,0
2989160,BL0,2018-05-07 13:00:00,0,22.1,17.6,0,0,0
2989216,BL0,2018-05-07 14:00:00,0,22.7,18.7,0,0,0
2979500,GR4,2018-04-30 00:00:00,6.1,8.7,1.2,0,0,0
2979556,GR4,2018-04-30 01:00:00,5.8,9.6,0,0,0,0
2979612,GR4,2018-04-30 02:00:00,2.9,11.4,3.0,0,0,0
2979668,GR4,2018-04-30 03:00:00,0.2,13.4,3.3,0,0,0
2979724,GR4,2018-04-30 04:00:00,5.5,0.3,3.5,0,0,0
2979780,GR4,2018-04-30 05:00:00,3.2,7.6,6.8,0,0,0
